Publication,Corallivore_Weffect,Corallivore_family,Corallivore_genus,Corallivore_phylum,Treatment,Treatment_simple,Treat_response,Treat_n,Control_response,Control_n,Manip_notes,Disease_specific,Disease_general,Notes,Coral,Region,,,
Sussman et al. 2003,Hermodice carunculata,Amphinomidae,Hermodice,Annelida,V.shiloi_infected,Corallivore_inoculation,6,6,0,10,Confusing because also tested whether an uninfected worm could transfer disease and that happened in 1 of 6 (12 really..) treatments… So not sure how to pull which numbers,Bleaching,Bleaching,"Experimentation = Increased means the experiment showed the corallivore INCREASING disease, whereas the correlation means the corallivore was just positively correlated to disease (could be attracted to it or could be causing it)--these two things are combined in the ""Effect"" column, which is why we went back and split them up",Oculina patagonica,"Mediterranean Sea, 50 km north of Tel Aviv",,,
Sussman et al. 2003,Hermodice carunculata,Amphinomidae,Hermodice,Annelida,Corallivore_noinfection,Corallivore_noManip,1,5,0,10,No intentional infection,Bleaching,Bleaching,,,,,,
Sussman et al. 2003,Hermodice carunculata,Amphinomidae,Hermodice,Annelida,V.mediterranei_infected,V.mediterranei_infected,0,2,0,10,,Bleaching,Bleaching,,,,,,
Williams and Miller 2005,Coralliophila abbreviata,Muricidae,Coralliophila,Mollusca,Fed_diseased,Corallivore_inoculation,7,13,0,10,"Since the ""control"" they use in Table 2 is actually snails that fed on healthy corals, these ""controls"" are the nubbins that were outplanted but without snails (Exp III: Indirect contact)",White pox/Acroporid serratiosis (APS)--probably,White,,Acropora cervicornis and Acropora palmata,"Key Largo, Florida",,,
Williams and Miller 2005,Coralliophila abbreviata,Muricidae,Coralliophila,Mollusca,Corallivore_noinfection,Corallivore_noManip,0,6,0,10,Fed healthy coral,White pox/Acroporid serratiosis (APS)--probably,White,,,,,,
Dalton and Godwin 2006,Phestilla sp.,Trinchesiidae,Phestilla,Mollusca,Fed_diseased,Corallivore_inoculation,4,6,NA,NA,No control--picked corallivores that had been feeding on diseased corals,Australian subtropical white syndrome (noted in Dalton et al. 2010),White,,Turbinaria mensenterina,Australia,,,
Aeby and Santavy 2006,Wounding,Wounding,,,Wounding,Wounding,12,12,0,12,"Response was P. corallyticum penetrating into coral tissue (""Invaded""). See Table 1",Australian subtropical white syndrome (noted in Dalton et al. 2010),BBD,,,,,,
Aeby and Santavy 2006,Chaetodon capistratus ,Chaetodontidae,Chaetodon,Chordata,Corallivore_noinfection,Corallivore_noManip,7,8,0,8,Caging didn't have an effect (6 of 8 caged fragments were infected),Black-band disease,BBD,,Montastraea faveolata,Florida Keys,,,
Aeby and Santavy 2006,Chaetodon capistratus ,Chaetodontidae,,,Corallivore_nobite,Corallivore_nobite,6,8,0,8,When the nubbins were caged (fecal transmiaaion),Black-band disease,BBD,,,,,,
Gignoux-Wolfsohn et al. 2012,Wounding,Wounding,,,Wounding,Wounding,1,9,0,10,"IMPORTANT: Here I'm saying the ""control"" are the corals that had snails with no bites--closest thing to a control but not sure exaclty what the balance is here",White band disease,White,,,,,,
Gignoux-Wolfsohn et al. 2012,Wounding_inoculation,Wounding_inoculation,,,Wounding_inoculation,Wounding_inoculation,6,15,0,15,,White band disease,White,,,,,,
Gignoux-Wolfsohn et al. 2012,Coralliophila abbreviata,Muricidae,Coralliophila,Mollusca,Corallivore_nobite,Corallivore_nobite,0,2,NA,NA,This is for where corals had snails but they didn't bite.. But I used these figures for control so probably not valid here also?,White band disease,White,Coralliophila caribaea did not cause disease,Acropora cervicornis,"Cayo Corales, Bocas Del Toro, Panama",,,
Gignoux-Wolfsohn et al. 2013,Coralliophila abbreviata,Muricidae,,,Corallivore_noinfection,Corallivore_noManip,7,13,0,10,Fed healthy coral--have decided to **LUMP THIS WITH STARVED**! As long as they weren't intentionally fed diseased corals,White band disease,White,,,,,,
Gignoux-Wolfsohn et al. 2013,Coralliophila abbreviata,Muricidae,,,Fed_diseased,Corallivore_inoculation,2,6,0,10,,White band disease,White,,,,,,
Gignoux-Wolfsohn et al. 2014,Coralliophila caribea,Muricidae,Coralliophila,Mollusca,Corallivore_nobite,Corallivore_nobite,0,8,NA,NA,,White band disease,White,,Acropora cervicornis,"Cayo Corales, Bocas Del Toro, Panama",,,
Gignoux-Wolfsohn et al. 2015,Coralliophila caribea,Muricidae,,,Corallivore_noinfection,Corallivore_noManip,0,3,0,10,,White band disease,White,,,,,,
Gignoux-Wolfsohn et al. 2014,Coralliophila caribea,Muricidae,,,Fed_diseased,Corallivore_inoculation,0,4,0,10,,White band disease,White,,,,,,
Antonius 1977,Hermodice carunculata,Amphinomidae,Hermodice,Annelida,NA,NA,NA,NA,NA,NA,No data to use,Shut down reaction,White,,"Acropora palmata, Acropora cervicornis, Montastrea annularis, Siderastrea siderea, Dichocoenia stokesi, Solenastrea hyades",Florida Keys,,,
Aeby 1992,Chaetodon multicinctus,Chaetodontidae,Chaetodon,Chordata,NA,NA,NA,NA,NA,NA,"This is tricky--although it did decrease disease, it's not the same as when they start with a healthy coral and see who gets infected..",Trematodiasis,Trematodiasis,"Maybe make a separate figure for organisms observed to have a preference for disease fronts? Also didn't include Chaetodon trifasciatus, C. auriga, and C. lunula because they weren't observed to feed on the front (were just in the area of caging/likely to have consumed trematodes); Given that the uncaged had fewer infected polyps it's probably all of the Chaetodon so good to group by family",Porites compressa,"Kaneohe Bay, Oahu, Hawai'i",,,
Aeby 1998,Chaetodon multicinctus,Chaetodontidae,Chaetodon,Chordata,NA,NA,NA,NA,NA,NA,,Trematodiasis,Trematodiasis,Didn't include that it increased disease because only found the trematodes inside (reservoir),Porites compressa,"Kaneohe Bay, Oahu, Hawai'i",,,
Aeby 2002,Chaetodon multicinctus,Chaetodontidae,Chaetodon,Chordata,NA,NA,NA,NA,NA,NA,,Trematodiasis,Trematodiasis,Reservoir; didn't really look at effect of butterflyfish on coral disease--more on how butterflyfish can harbor the trematode,Porites compressa,"Kaneohe Bay, Oahu, Hawai'i",,,
Vargas-Ángel et al. 2003,Hermodice carunculata,Amphinomidae,Hermodice,Annelida,NA,NA,NA,NA,NA,NA,,"White band disease, type I",White,Positive correation with WBD,Acropora cervicornis,"Fort Lauderdale, Florida",,,
Sutherland et al. 2011,Coralliophila abbreviata,Muricidae,Coralliophila,Mollusca,Isolate_from_corallivore,Isolate_from_corallivore,1,3,0,3,,White pox/Acroporid serratiosis (APS),White,Reservoir,Acropora palmata,"Summerland Key, Florida",,,
Rypien and Baker 2009,Cyphoma gibbosum,Ovulidae,Cyphoma,Mollusca,NA,NA,NA,NA,NA,NA,,Aspergillosis,Aspergillosis,Reservoir/vetor--don't study the correlation or cause of it wrt corals (more about vector potential),Octocorals generally,"North Norman's Reef, Bahamas and Key Largo, Florida",,,
Nicolet et al. 2013,Drupella spp.,Muricidae,Drupella,Mollusca,Fed_diseased,Corallivore_inoculation,5,12,0,4,"Not fed exactly, but collected from diseased colonies which I think counts",Brown band disease,BrB,Is a reservoir because showed that it wasn't wounding alone--could carry the pathogen (need to either claim that they establish it as a reservoir or as a vector)--would want to change this if it's molecular (putting the maybe for now),,,,,
Nicolet et al. 2013,Chromis viridis,Pomacentridae,Chromis,Chordata,Fed_diseased,Corallivore_inoculation,0,6,0,6,,Brown band disease,,,,,,,
Nicolet et al. 2013,Pomacentrus moluccensis,Pomacentridae,Pomacentrus,Chordata,Fed_diseased,Corallivore_inoculation,0,6,0,6,,Brown band disease,BrB,,,,,,
Nicolet et al. 2013,Halichoeres melanurus,Labridae,Halichoeres,Chordata,NA,NA,NA,NA,NA,NA,,Brown band disease,BrB,,,,,,
Nicolet et al. 2013,Ecsenius sp,Blenniidae,Ecsenius,Chordata,NA,NA,NA,NA,NA,NA,,Brown band disease,BrB,,,,,,
Nicolet et al. 2013,Chromis nitida,Pomacentridae,Chromis,Chordata,NA,NA,NA,NA,NA,NA,,Brown band disease,BrB,,,,,,
Nicolet et al. 2013,Bryaninops erythrops,Gobiidae,Bryaninops,Chordata,NA,NA,NA,NA,NA,NA,,Brown band disease,BrB,,,,,,
Nicolet et al. 2013,Wounding,Wounding,,,Wounding,Wounding,1,4,0,4,,Brown band disease,BrB,,,,,,
Nicolet et al. 2013,Chaetodon aureofasciatus,Chaetodontidae,Chaetodon,Chordata,Fed_diseased,Corallivore_inoculation,0,6,0,6,,Brown band disease,BrB,"Fed on diseased bands, but not necessarily preferentially? Said: ""were observed to feed directly on disease bands""",Acropora muricata,"Orpheus Island, GBR",,,
Clemens and Brandt 2015,Coralliophila abbreviata,Muricidae,Coralliophila,Mollusca,Fed_diseased,Corallivore_inoculation,1,9,0,6,"See Table 1. Control is actually different than filtered (filtered is filtering diseased water, but they say that ""disease signs… were never transmitted in any control treatment"". Technically for this they used controls of a corallivore fed healthy coral but I'm going to break it up and use the controls from the other experiment (waterborne healthy coral) as controls for these and treatments as corallivore application ",White plague,White,H. carunculata not shown to have an effect; C. abbreviata had no more effect than just seawater but a bigger effect than control,Orbicella annularis,"St. Thomas, USVI",,,
Clemens and Brandt 2015,Coralliophila abbreviata,Muricidae,,,Corallivore_noinfection,Corallivore_noManip,0,3,0,6,,White plague,White,,,,,,
Clemens and Brandt 2015,Hermodice carunculata,Amphinomidae,Hermodice,Annelida,Fed_diseased,Corallivore_inoculation,0,9,0,6,,White plague,White,,,,,,
Clemens and Brandt 2015,Hermodice carunculata,Amphinomidae,,,Corallivore_noinfection,Corallivore_noManip,0,3,0,6,,White plague,White,,,,,,
Pratte and Richardson 2016,Cryptochiridae,Cryptochiridae,Cryptochiridae,Arthropoda,Fed_diseased,Corallivore_inoculation,3,3,0,2,"I think they kept the crab with the infected fragment, although they don't say they fed it that explicity",White plague-like disease,White,This could be reservoir-like if we choose to exapnd the definition,Diploria labyrinthiformis and Pseudodiploria strigosa (used in experiment),Florida Keys,,,
Pratte and Richardson 2016,Cryptochiridae,Cryptochiridae,,,Corallivore_nobite,Corallivore_nobite,3,3,0,2,,White plague-like disease,White,,,,,,
Nicolet et al. 2018 (Sci Rep),Drupella spp.,Muricidae,Drupella,Mollusca,Fed_diseased,Corallivore_inoculation,3,8,0,8,"Didn't include the ""12-hr delay"" or the ""24-hr delay"" treatments",Brown band disease,BrB,Here they say these results suggest COULD ACT AS A RESERVOIR!!,Acropora muricata,"Lizard Island, Australia",,,
Nicolet et al. 2018 (Sci Rep),Wounding,Wounding,,,Wounding,Wounding,0,8,0,8,,Brown band disease,BrB,,,,,,
Nicolet et al. 2018 (Sci Rep),Wounding,Wounding,,,Wounding,Wounding,0,6,0,6,,Black-band disease,BBD,,,,,,
Nicolet et al. 2018 (Sci Rep),Drupella spp.,Muricidae,Drupella,Mollusca,Fed_diseased,Corallivore_inoculation,0,6,0,6,,Black-band disease,BBD,,,,,,
Nicolet et al. 2018 (Sci Rep),Chaetodon plebius,Chaetodontidae,,,Corallivore_nobite,Corallivore_nobite,0,10,0,5,Double replicated the fish treatments vs. control,Brown band disease,BrB,,,,,,
Nicolet et al. 2018 (Sci Rep),Chaetodon plebius,Chaetodontidae,,,Corallivore_nobite,Corallivore_nobite,0,14,0,7,,Black-band disease,BBD,,,,,,
Nicolet et al. 2018 (Sci Rep),Chaetodon plebius,Chaetodontidae,Chaetodon,Chordata,Fed_diseased,Corallivore_inoculation,0,10,0,5,,Brown band disease,BrB,,,,,,
Nicolet et al. 2018 (Sci Rep),Chaetodon plebius,Chaetodontidae,Chaetodon,Chordata,Fed_diseased,Corallivore_inoculation,0,14,0,7,,Black-band disease,BBD,,,,,,
Nicolet et al. 2018 (MEPS),Chaetodon plebius,Chaetodontidae,Chaetodon,Chordata,NA,NA,NA,NA,NA,NA,Didn't include data on which nubbins became infected!!! Only lesion progression rates! ,Black-band disease,BBD,Didn't look at fishes individually,,,,,
Nicolet et al. 2018 (MEPS),Chaetodon lunulatus,Chaetodontidae,Chaetodon,Chordata,NA,NA,NA,NA,NA,NA,,Black-band disease,BBD,,,,,,
Nicolet et al. 2018 (MEPS),Chaetodon rainfordi,Chaetodontidae,Chaetodon,Chordata,NA,NA,NA,NA,NA,NA,,Black-band disease,BBD,,,,,,
Nicolet et al. 2018 (MEPS),Chaetodon aureofasciatus,Chaetodontidae,Chaetodon,Chordata,NA,NA,NA,NA,NA,NA,,Black-band disease,BBD,,,,,,
Nicolet et al. 2018 (MEPS),Chaetodon baronessa,Chaetodontidae,Chaetodon,Chordata,NA,NA,NA,NA,NA,NA,,Black-band disease,BBD,,,,,,
Nicolet et al. 2018 (MEPS),Chaetodon trifascialis,Chaetodontidae,Chaetodon,Chordata,NA,NA,NA,NA,NA,NA,,Black-band disease,BBD,,,,,,
Nicolet et al. 2018 (MEPS),Labrichthys unilineatus,Labridae,Labrichthys,Chordata,NA,NA,NA,NA,NA,NA,,Black-band disease,BBD,,,,,,
Nicolet et al. 2018 (MEPS),Oxymonacanthus longirostris,Monacanthidae,Oxymonacanthus,Chordata,NA,NA,NA,NA,NA,NA,,Black-band disease,BBD,,,,,,
Nicolet et al. 2018 (MEPS),Pomacentrus amboinensis,Pomacentridae,Pomacentrus,Chordata,NA,NA,NA,NA,NA,NA,,Black-band disease,BBD,,,,,,
Nicolet et al. 2018 (MEPS),Pomacentrus grammorhynchus,Pomacentridae,Pomacentrus,Chordata,NA,NA,NA,NA,NA,NA,,Black-band disease,BBD,,Acropora muricata,"Lizard Island, Australia",,,
Sutherland et al. 2010 (Env Microbio),Coralliophila abbreviata,Muricidae,Coralliophila,Mollusca,NA,NA,NA,NA,NA,NA,,White pox/Acroporid serratiosis (APS),White,Did not find Serratia marcenscens in parrotfish or fireworms--just C. abbreviata,Acropora palmata,Florida Keys,,,
Page and Willis 2008,Wounding,Wounding,NA,NA,Wounding,Wounding,0,90,0,90,"Although ciliates colonized wounds, they didn't persist/turn into tissue loss so I didn’t count it",Skeletal eroding band,SEB,,"Acropora muricata, Pocillopora damicornis, and Porites cylindrica","Great Barrier Reef, 18 sites",,,
Nugues and Bak 2009,Acanthaster planci,Acanthasteridae,Acanthaster,Echinodermata,Corallivore_noinfection,Corallivore_noManip,5,8,0,4,,Brown band disease,BrB,,Acropora cytherea,"Derawan Island, Indonesia",,,
Jordán-Garza and Jordán-Dahlgren 2011,Wounding,Wounding,,,Wounding,Wounding,0,60,0,60,,Caribbean yellow-band syndrome,CYBS,,Montastraea faveolata,"Yucatán, Mexico",,,
Pollock et al. 2013,Cymo melanodactylus,Xanthidae,Cymo,Arthropoda,NA,NA,NA,NA,NA,NA,Lesion progression rates rather than diseased/not,White syndrome,White,"Correlation includes there just being more crabs on infected corals! But, it's abundance not bites (that's direct lesion feeding)",Acropora hyacinthus,"Lizard Island, Australia",,,
Katz et al. 2014,Acanthaster planci,Acanthasteridae,,,Corallivore_noinfection,Corallivore_noManip,0,0,0,9,Said didn't see any distinctive BrB ciliates in COTS predation + no ciliates,,,,,,,,
Katz et al. 2014,Acanthaster planci,Acanthasteridae,Acanthaster,Echinodermata,Corallivore_waterincoluation,Corallivore_inoculation,9,9,0,9,Didn't include wounding portion because (1) mimicked storm damage/fragmentation and (2) didn't report # of fragments that sucumbed ,Brown band disease,BrB,,Acropora hyacinthus,"Lizard Island, Australia",,,
Miller et al. 2014 (MEPS),Hermodice carunculata,Amphinomidae,Hermodice,Annelida,Corallivore_noinfection,Corallivore_noManip,17,81,10,469,,"Unknown--""tissue loss associated with disease--described in Miller et al. 2014)",White,"Whether this was ""experimental"" or ""correlation"" is fuzzy but I think it's more experimental because there are controls, etc.",Acropora cervicornis,Florida Keys,,,
Randall et al. 2016,Wounding_inoculation,Wounding_inoculation,NA,NA,Wounding_inoculation,Wounding_inoculation,0,3,0,3,"Wasn’t ""inoculation"" exactly, but pushed a diseased coral up in a wounded one for 13 hours ""to facilitate potential pathogen transmission"" which I think is sufficient",Dark spot syndrome,DSS,,Siderastrea siderea,Florida Keys,,,
Raymundo et al. 2016,Coralliophila violacea,Muricidae,Coralliophila,Mollusca,NA,NA,NA,NA,NA,NA,Couldn't include because no controls!! Otherwise would have been really cool,White syndrome-like,White,,Porites spp.,Guam,,,
Shaver et al. 2017,Coralliophila abbreviata,Muricidae,Coralliophila,Mollusca,Corallivore_noinfection,Corallivore_noManip,6,20,0,20,"Said they observed white symptoms on all corals that suffered full mortality so those are the ones we'll count as diseased. Results were confusing, but I think the critical part is that n = 11 snail addition (40 total) corals died, which included n = 5 from snail + nutrient and n = 6 from snail only",Unknown (rapid tissue loss syndrome?),White,,Acropora cervicornis,Florida Keys,,,
Wright et al. 2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,Acropora millepora,Great Barrier Reef,,,
